0 ('/sc2/maps.py', 'module_initializer', 'logger')
34 ('/sc2/constants.py', 'module_initializer', 'mineral_ids')
35 ('/sc2/constants.py', 'module_initializer', 'geyser_ids')
36 ('/sc2/__init__.py', 'module_initializer', 'p')
37 ('/sc2/__init__.py', 'module_initializer', '__all__')
38 ('/sc2/__init__.py', 'module_initializer', 'logger')
39 ('/sc2/game_data.py', 'module_initializer', 'FREE_MORPH_ABILITY_CATEGORIES')
40 ('/sc2/ids/ability_id.py', 'module_initializer', 'item')
41 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'NULL_NULL')
42 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SMART')
43 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'TAUNT_TAUNT')
44 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'STOP_STOP')
45 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'STOP_HOLDFIRESPECIAL')
46 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'STOP_CHEER')
47 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'STOP_DANCE')
48 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HOLDFIRE_STOPSPECIAL')
49 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HOLDFIRE_HOLDFIRE')
50 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MOVE')
51 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'PATROL')
52 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HOLDPOSITION')
53 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SCAN_MOVE')
54 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MOVE_TURN')
55 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BEACON_CANCEL')
56 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BEACON_BEACONMOVE')
57 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ATTACK_ATTACK')
58 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ATTACK_ATTACKTOWARDS')
59 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ATTACK_ATTACKBARRAGE')
60 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EFFECT_SPRAY_TERRAN')
61 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EFFECT_SPRAY_ZERG')
62 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EFFECT_SPRAY_PROTOSS')
63 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EFFECT_SALVAGE')
64 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CORRUPTION_CORRUPTIONABILITY')
65 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CORRUPTION_CANCEL')
66 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BEHAVIOR_HOLDFIREON_GHOST')
67 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BEHAVIOR_HOLDFIREOFF_GHOST')
68 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MORPHTOINFESTEDTERRAN_INFESTEDTERRANS')
69 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EXPLODE_EXPLODE')
70 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RESEARCH_INTERCEPTORGRAVITONCATAPULT')
71 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'FLEETBEACONRESEARCH_RESEARCHINTERCEPTORLAUNCHSPEEDUPGRADE')
72 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RESEARCH_PHOENIXANIONPULSECRYSTALS')
73 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'FLEETBEACONRESEARCH_TEMPESTRANGEUPGRADE')
74 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'FUNGALGROWTH_FUNGALGROWTH')
75 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'GUARDIANSHIELD_GUARDIANSHIELD')
76 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EFFECT_REPAIR_MULE')
77 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MORPHZERGLINGTOBANELING_BANELING')
78 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'NEXUSTRAINMOTHERSHIP_MOTHERSHIP')
79 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'FEEDBACK_FEEDBACK')
80 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MASSRECALL_MASSRECALL')
81 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'PLACEPOINTDEFENSEDRONE_POINTDEFENSEDRONE')
82 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HALLUCINATION_ARCHON')
83 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HALLUCINATION_COLOSSUS')
84 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HALLUCINATION_HIGHTEMPLAR')
85 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HALLUCINATION_IMMORTAL')
86 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HALLUCINATION_PHOENIX')
87 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HALLUCINATION_PROBE')
88 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HALLUCINATION_STALKER')
89 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HALLUCINATION_VOIDRAY')
90 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HALLUCINATION_WARPPRISM')
91 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HALLUCINATION_ZEALOT')
92 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HARVEST_GATHER_MULE')
93 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HARVEST_RETURN_MULE')
94 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SEEKERMISSILE_HUNTERSEEKERMISSILE')
95 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CALLDOWNMULE_CALLDOWNMULE')
96 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'GRAVITONBEAM_GRAVITONBEAM')
97 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CANCEL_GRAVITONBEAM')
98 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BUILDINPROGRESSNYDUSCANAL_CANCEL')
99 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SIPHON_SIPHON')
100 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SIPHON_CANCEL')
101 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LEECH_LEECH')
102 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SPAWNCHANGELING_SPAWNCHANGELING')
103 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'DISGUISEASZEALOT_ZEALOT')
104 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'DISGUISEASMARINEWITHSHIELD_MARINE')
105 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'DISGUISEASMARINEWITHOUTSHIELD_MARINE')
106 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'DISGUISEASZERGLINGWITHWINGS_ZERGLING')
107 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'DISGUISEASZERGLINGWITHOUTWINGS_ZERGLING')
108 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'PHASESHIFT_PHASESHIFT')
109 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RALLY_BUILDING')
110 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RALLY_MORPHING_UNIT')
111 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RALLY_COMMANDCENTER')
112 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RALLY_NEXUS')
113 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RALLY_HATCHERY_UNITS')
114 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RALLY_HATCHERY_WORKERS')
115 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RESEARCH_GLIALREGENERATION')
116 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RESEARCH_TUNNELINGCLAWS')
117 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ROACHWARRENRESEARCH_ROACHSUPPLY')
118 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SAPSTRUCTURE_SAPSTRUCTURE')
119 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'INFESTEDTERRANS_INFESTEDTERRANS')
120 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'NEURALPARASITE_NEURALPARASITE')
121 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CANCEL_NEURALPARASITE')
122 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EFFECT_INJECTLARVA')
123 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EFFECT_STIM_MARAUDER')
124 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SUPPLYDROP_SUPPLYDROP')
125 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', '_250MMSTRIKECANNONS_250MMSTRIKECANNONS')
126 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', '_250MMSTRIKECANNONS_CANCEL')
127 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'TEMPORALRIFT_TEMPORALRIFT')
128 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EFFECT_CHRONOBOOST')
129 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ULTRALISKCAVERNRESEARCH_EVOLVEANABOLICSYNTHESIS2')
130 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RESEARCH_CHITINOUSPLATING')
131 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'WORMHOLETRANSIT_WORMHOLETRANSIT')
132 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HARVEST_GATHER_SCV')
133 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HARVEST_RETURN_SCV')
134 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HARVEST_GATHER_PROBE')
135 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HARVEST_RETURN_PROBE')
136 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ATTACKWARPPRISM_ATTACKWARPPRISM')
137 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ATTACKWARPPRISM_ATTACKTOWARDS')
138 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ATTACKWARPPRISM_ATTACKBARRAGE')
139 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CANCEL_QUEUE1')
140 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CANCELSLOT_QUEUE1')
141 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CANCEL_QUEUE5')
142 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CANCELSLOT_QUEUE5')
143 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CANCEL_QUEUECANCELTOSELECTION')
144 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CANCELSLOT_QUEUECANCELTOSELECTION')
145 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'QUE5LONGBLEND_CANCEL')
146 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'QUE5LONGBLEND_CANCELSLOT')
147 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CANCEL_QUEUEADDON')
148 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CANCELSLOT_ADDON')
149 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CANCEL_BUILDINPROGRESS')
150 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HALT_BUILDING')
151 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EFFECT_REPAIR_SCV')
152 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'TERRANBUILD_COMMANDCENTER')
153 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'TERRANBUILD_SUPPLYDEPOT')
154 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'TERRANBUILD_REFINERY')
155 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'TERRANBUILD_BARRACKS')
156 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'TERRANBUILD_ENGINEERINGBAY')
157 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'TERRANBUILD_MISSILETURRET')
158 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'TERRANBUILD_BUNKER')
159 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'TERRANBUILD_SENSORTOWER')
160 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'TERRANBUILD_GHOSTACADEMY')
161 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'TERRANBUILD_FACTORY')
162 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'TERRANBUILD_STARPORT')
163 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'TERRANBUILD_ARMORY')
164 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'TERRANBUILD_FUSIONCORE')
165 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'HALT_TERRANBUILD')
166 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RAVENBUILD_AUTOTURRET')
167 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RAVENBUILD_CANCEL')
168 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'EFFECT_STIM_MARINE')
169 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BEHAVIOR_CLOAKON_GHOST')
170 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BEHAVIOR_CLOAKOFF_GHOST')
171 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SNIPE_SNIPE')
172 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MEDIVACHEAL_HEAL')
173 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SIEGEMODE_SIEGEMODE')
174 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'UNSIEGE_UNSIEGE')
175 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BEHAVIOR_CLOAKON_BANSHEE')
176 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BEHAVIOR_CLOAKOFF_BANSHEE')
177 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LOAD_MEDIVAC')
178 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'UNLOADALLAT_MEDIVAC')
179 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'SCANNERSWEEP_SCAN')
180 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'YAMATO_YAMATOGUN')
181 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MORPH_VIKINGASSAULTMODE')
182 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MORPH_VIKINGFIGHTERMODE')
183 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LOAD_BUNKER')
184 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'UNLOADALL_BUNKER')
185 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'UNLOADALL_COMMANDCENTER')
186 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LOADALL_COMMANDCENTER')
187 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LIFT_COMMANDCENTER')
188 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LAND_COMMANDCENTER')
189 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BUILD_TECHLAB_BARRACKS')
190 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BUILD_REACTOR_BARRACKS')
191 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CANCEL_BARRACKSADDON')
192 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LIFT_BARRACKS')
193 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BUILD_TECHLAB_FACTORY')
194 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BUILD_REACTOR_FACTORY')
195 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CANCEL_FACTORYADDON')
196 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LIFT_FACTORY')
197 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BUILD_TECHLAB_STARPORT')
198 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BUILD_REACTOR_STARPORT')
199 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'CANCEL_STARPORTADDON')
200 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LIFT_STARPORT')
201 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LAND_FACTORY')
202 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LAND_STARPORT')
203 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'COMMANDCENTERTRAIN_SCV')
204 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'LAND_BARRACKS')
205 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MORPH_SUPPLYDEPOT_LOWER')
206 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MORPH_SUPPLYDEPOT_RAISE')
207 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BARRACKSTRAIN_MARINE')
208 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BARRACKSTRAIN_REAPER')
209 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BARRACKSTRAIN_GHOST')
210 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BARRACKSTRAIN_MARAUDER')
211 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'FACTORYTRAIN_SIEGETANK')
212 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'FACTORYTRAIN_THOR')
213 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'FACTORYTRAIN_HELLION')
214 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'TRAIN_HELLBAT')
215 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'TRAIN_CYCLONE')
216 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'FACTORYTRAIN_WIDOWMINE')
217 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'STARPORTTRAIN_MEDIVAC')
218 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'STARPORTTRAIN_BANSHEE')
219 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'STARPORTTRAIN_RAVEN')
220 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'STARPORTTRAIN_BATTLECRUISER')
221 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'STARPORTTRAIN_VIKINGFIGHTER')
222 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'STARPORTTRAIN_LIBERATOR')
223 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RESEARCH_HISECAUTOTRACKING')
224 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RESEARCH_TERRANSTRUCTUREARMORUPGRADE')
225 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ENGINEERINGBAYRESEARCH_TERRANINFANTRYWEAPONSLEVEL1')
226 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ENGINEERINGBAYRESEARCH_TERRANINFANTRYWEAPONSLEVEL2')
227 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ENGINEERINGBAYRESEARCH_TERRANINFANTRYWEAPONSLEVEL3')
228 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RESEARCH_NEOSTEELFRAME')
229 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ENGINEERINGBAYRESEARCH_TERRANINFANTRYARMORLEVEL1')
230 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ENGINEERINGBAYRESEARCH_TERRANINFANTRYARMORLEVEL2')
231 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ENGINEERINGBAYRESEARCH_TERRANINFANTRYARMORLEVEL3')
232 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'MERCCOMPOUNDRESEARCH_REAPERSPEED')
233 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BUILD_NUKE')
234 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'BARRACKSTECHLABRESEARCH_STIMPACK')
235 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RESEARCH_COMBATSHIELD')
236 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RESEARCH_CONCUSSIVESHELLS')
237 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RESEARCH_INFERNALPREIGNITER')
238 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'FACTORYTECHLABRESEARCH_RESEARCHTRANSFORMATIONSERVOS')
239 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RESEARCH_DRILLINGCLAWS')
240 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'FACTORYTECHLABRESEARCH_RESEARCHLOCKONRANGEUPGRADE')
241 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RESEARCH_SMARTSERVOS')
242 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'FACTORYTECHLABRESEARCH_RESEARCHARMORPIERCINGROCKETS')
243 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RESEARCH_CYCLONERAPIDFIRELAUNCHERS')
244 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'FACTORYTECHLABRESEARCH_CYCLONERESEARCHLOCKONDAMAGEUPGRADE')
245 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RESEARCH_BANSHEECLOAKINGFIELD')
246 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'STARPORTTECHLABRESEARCH_RESEARCHMEDIVACENERGYUPGRADE')
247 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RESEARCH_RAVENCORVIDREACTOR')
248 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'STARPORTTECHLABRESEARCH_RESEARCHSEEKERMISSILE')
249 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'STARPORTTECHLABRESEARCH_RESEARCHDURABLEMATERIALS')
250 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RESEARCH_BANSHEEHYPERFLIGHTROTORS')
251 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'STARPORTTECHLABRESEARCH_RESEARCHLIBERATORAGMODE')
252 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'STARPORTTECHLABRESEARCH_RESEARCHRAPIDDEPLOYMENT')
253 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RESEARCH_RAVENRECALIBRATEDEXPLOSIVES')
254 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RESEARCH_HIGHCAPACITYFUELTANKS')
255 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RESEARCH_ADVANCEDBALLISTICS')
256 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'STARPORTTECHLABRESEARCH_RAVENRESEARCHENHANCEDMUNITIONS')
257 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'RESEARCH_PERSONALCLOAKING')
258 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'GHOSTACADEMYRESEARCH_RESEARCHGHOSTENERGYUPGRADE')
259 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ARMORYRESEARCH_TERRANVEHICLEPLATINGLEVEL1')
260 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ARMORYRESEARCH_TERRANVEHICLEPLATINGLEVEL2')
261 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ARMORYRESEARCH_TERRANVEHICLEPLATINGLEVEL3')
262 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ARMORYRESEARCH_TERRANVEHICLEWEAPONSLEVEL1')
263 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ARMORYRESEARCH_TERRANVEHICLEWEAPONSLEVEL2')
264 ('/sc2/ids/ability_id.py', 'AbilityId_class_initializer', 'ARMORYRESEARCH_TERRANVEHICLEWEAPONSLEVEL3')
