0 ('/wemake_python_styleguide/visitors/ast/naming.py', 'module_initializer', '_VariableDef')
29 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'MAX_ELIFS')
30 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'MAX_EXCEPT_CASES')
31 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'MATH_APPROXIMATE_CONSTANTS')
32 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'VAGUE_IMPORTS_BLACKLIST')
33 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'LITERALS_BLACKLIST')
34 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'TUPLE_ARGUMENTS_METHODS')
35 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'ALLOWED_NESTED_IMPORTS_CONDITIONS')
36 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'ALIAS_NAMES_WHITELIST')
37 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'STDIN')
38 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'INIT')
39 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'WINDOWS_OS')
40 ('/wemake_python_styleguide/constants.py', 'module_initializer', 'UNUSED_PLACEHOLDER')
41 ('/wemake_python_styleguide/violations/best_practices.py', 'WrongMagicCommentViolation_class_initializer', 'code')
42 ('/wemake_python_styleguide/violations/best_practices.py', 'WrongMagicCommentViolation_class_initializer', 'error_template')
43 ('/wemake_python_styleguide/violations/best_practices.py', 'WrongDocCommentViolation_class_initializer', 'code')
44 ('/wemake_python_styleguide/violations/best_practices.py', 'WrongDocCommentViolation_class_initializer', 'error_template')
45 ('/wemake_python_styleguide/violations/best_practices.py', 'OveruseOfNoqaCommentViolation_class_initializer', 'error_template')
46 ('/wemake_python_styleguide/violations/best_practices.py', 'OveruseOfNoqaCommentViolation_class_initializer', 'code')
47 ('/wemake_python_styleguide/violations/best_practices.py', 'OveruseOfNoCoverCommentViolation_class_initializer', 'error_template')
48 ('/wemake_python_styleguide/violations/best_practices.py', 'OveruseOfNoCoverCommentViolation_class_initializer', 'code')
49 ('/wemake_python_styleguide/violations/best_practices.py', 'ComplexDefaultValueViolation_class_initializer', 'error_template')
50 ('/wemake_python_styleguide/violations/best_practices.py', 'ComplexDefaultValueViolation_class_initializer', 'code')
51 ('/wemake_python_styleguide/violations/best_practices.py', 'ComplexDefaultValueViolation_class_initializer', 'previous_codes')
52 ('/wemake_python_styleguide/violations/best_practices.py', 'LoopVariableDefinitionViolation_class_initializer', 'error_template')
53 ('/wemake_python_styleguide/violations/best_practices.py', 'LoopVariableDefinitionViolation_class_initializer', 'code')
54 ('/wemake_python_styleguide/violations/best_practices.py', 'LoopVariableDefinitionViolation_class_initializer', 'previous_codes')
55 ('/wemake_python_styleguide/violations/best_practices.py', 'ContextManagerVariableDefinitionViolation_class_initializer', 'error_template')
56 ('/wemake_python_styleguide/violations/best_practices.py', 'ContextManagerVariableDefinitionViolation_class_initializer', 'code')
57 ('/wemake_python_styleguide/violations/best_practices.py', 'ContextManagerVariableDefinitionViolation_class_initializer', 'previous_codes')
58 ('/wemake_python_styleguide/violations/best_practices.py', 'MutableModuleConstantViolation_class_initializer', 'error_template')
59 ('/wemake_python_styleguide/violations/best_practices.py', 'MutableModuleConstantViolation_class_initializer', 'code')
60 ('/wemake_python_styleguide/violations/best_practices.py', 'MutableModuleConstantViolation_class_initializer', 'previous_codes')
61 ('/wemake_python_styleguide/violations/best_practices.py', 'SameElementsInConditionViolation_class_initializer', 'error_template')
62 ('/wemake_python_styleguide/violations/best_practices.py', 'SameElementsInConditionViolation_class_initializer', 'code')
63 ('/wemake_python_styleguide/violations/best_practices.py', 'SameElementsInConditionViolation_class_initializer', 'previous_codes')
64 ('/wemake_python_styleguide/violations/best_practices.py', 'HeterogeneousCompareViolation_class_initializer', 'error_template')
65 ('/wemake_python_styleguide/violations/best_practices.py', 'HeterogeneousCompareViolation_class_initializer', 'code')
66 ('/wemake_python_styleguide/violations/best_practices.py', 'HeterogeneousCompareViolation_class_initializer', 'previous_codes')
67 ('/wemake_python_styleguide/violations/best_practices.py', 'WrongModuleMetadataViolation_class_initializer', 'error_template')
68 ('/wemake_python_styleguide/violations/best_practices.py', 'WrongModuleMetadataViolation_class_initializer', 'code')
69 ('/wemake_python_styleguide/violations/best_practices.py', 'EmptyModuleViolation_class_initializer', 'error_template')
70 ('/wemake_python_styleguide/violations/best_practices.py', 'EmptyModuleViolation_class_initializer', 'code')
71 ('/wemake_python_styleguide/violations/best_practices.py', 'InitModuleHasLogicViolation_class_initializer', 'error_template')
72 ('/wemake_python_styleguide/violations/best_practices.py', 'InitModuleHasLogicViolation_class_initializer', 'code')
73 ('/wemake_python_styleguide/violations/best_practices.py', 'BadMagicModuleFunctionViolation_class_initializer', 'error_template')
74 ('/wemake_python_styleguide/violations/best_practices.py', 'BadMagicModuleFunctionViolation_class_initializer', 'code')
75 ('/wemake_python_styleguide/violations/best_practices.py', 'WrongUnpackingViolation_class_initializer', 'error_template')
76 ('/wemake_python_styleguide/violations/best_practices.py', 'WrongUnpackingViolation_class_initializer', 'code')
77 ('/wemake_python_styleguide/violations/best_practices.py', 'WrongUnpackingViolation_class_initializer', 'previous_codes')
78 ('/wemake_python_styleguide/violations/best_practices.py', 'DuplicateExceptionViolation_class_initializer', 'error_template')
79 ('/wemake_python_styleguide/violations/best_practices.py', 'DuplicateExceptionViolation_class_initializer', 'code')
80 ('/wemake_python_styleguide/violations/best_practices.py', 'DuplicateExceptionViolation_class_initializer', 'previous_codes')
81 ('/wemake_python_styleguide/violations/best_practices.py', 'YieldInComprehensionViolation_class_initializer', 'error_template')
82 ('/wemake_python_styleguide/violations/best_practices.py', 'YieldInComprehensionViolation_class_initializer', 'code')
83 ('/wemake_python_styleguide/violations/best_practices.py', 'YieldInComprehensionViolation_class_initializer', 'previous_codes')
84 ('/wemake_python_styleguide/violations/best_practices.py', 'NonUniqueItemsInHashViolation_class_initializer', 'error_template')
85 ('/wemake_python_styleguide/violations/best_practices.py', 'NonUniqueItemsInHashViolation_class_initializer', 'code')
86 ('/wemake_python_styleguide/violations/best_practices.py', 'NonUniqueItemsInHashViolation_class_initializer', 'previous_codes')
87 ('/wemake_python_styleguide/violations/best_practices.py', 'BaseExceptionSubclassViolation_class_initializer', 'error_template')
88 ('/wemake_python_styleguide/violations/best_practices.py', 'BaseExceptionSubclassViolation_class_initializer', 'code')
89 ('/wemake_python_styleguide/violations/best_practices.py', 'BaseExceptionSubclassViolation_class_initializer', 'previous_codes')
90 ('/wemake_python_styleguide/violations/best_practices.py', 'TryExceptMultipleReturnPathViolation_class_initializer', 'error_template')
91 ('/wemake_python_styleguide/violations/best_practices.py', 'TryExceptMultipleReturnPathViolation_class_initializer', 'code')
92 ('/wemake_python_styleguide/violations/best_practices.py', 'TryExceptMultipleReturnPathViolation_class_initializer', 'previous_codes')
93 ('/wemake_python_styleguide/violations/best_practices.py', 'WrongKeywordViolation_class_initializer', 'error_template')
94 ('/wemake_python_styleguide/violations/best_practices.py', 'WrongKeywordViolation_class_initializer', 'code')
95 ('/wemake_python_styleguide/violations/best_practices.py', 'WrongFunctionCallViolation_class_initializer', 'error_template')
96 ('/wemake_python_styleguide/violations/best_practices.py', 'WrongFunctionCallViolation_class_initializer', 'code')
97 ('/wemake_python_styleguide/violations/best_practices.py', 'FutureImportViolation_class_initializer', 'error_template')
98 ('/wemake_python_styleguide/violations/best_practices.py', 'FutureImportViolation_class_initializer', 'code')
99 ('/wemake_python_styleguide/violations/best_practices.py', 'RaiseNotImplementedViolation_class_initializer', 'error_template')
100 ('/wemake_python_styleguide/violations/best_practices.py', 'RaiseNotImplementedViolation_class_initializer', 'code')
101 ('/wemake_python_styleguide/violations/best_practices.py', 'BaseExceptionViolation_class_initializer', 'error_template')
102 ('/wemake_python_styleguide/violations/best_practices.py', 'BaseExceptionViolation_class_initializer', 'code')
103 ('/wemake_python_styleguide/violations/best_practices.py', 'BooleanPositionalArgumentViolation_class_initializer', 'error_template')
104 ('/wemake_python_styleguide/violations/best_practices.py', 'BooleanPositionalArgumentViolation_class_initializer', 'code')
105 ('/wemake_python_styleguide/violations/best_practices.py', 'LambdaInsideLoopViolation_class_initializer', 'error_template')
106 ('/wemake_python_styleguide/violations/best_practices.py', 'LambdaInsideLoopViolation_class_initializer', 'code')
107 ('/wemake_python_styleguide/violations/best_practices.py', 'LambdaInsideLoopViolation_class_initializer', 'previous_codes')
108 ('/wemake_python_styleguide/violations/best_practices.py', 'UnreachableCodeViolation_class_initializer', 'error_template')
109 ('/wemake_python_styleguide/violations/best_practices.py', 'UnreachableCodeViolation_class_initializer', 'code')
110 ('/wemake_python_styleguide/violations/best_practices.py', 'UnreachableCodeViolation_class_initializer', 'previous_codes')
111 ('/wemake_python_styleguide/violations/best_practices.py', 'StatementHasNoEffectViolation_class_initializer', 'error_template')
112 ('/wemake_python_styleguide/violations/best_practices.py', 'StatementHasNoEffectViolation_class_initializer', 'code')
113 ('/wemake_python_styleguide/violations/best_practices.py', 'StatementHasNoEffectViolation_class_initializer', 'previous_codes')
114 ('/wemake_python_styleguide/violations/best_practices.py', 'MultipleAssignmentsViolation_class_initializer', 'error_template')
115 ('/wemake_python_styleguide/violations/best_practices.py', 'MultipleAssignmentsViolation_class_initializer', 'code')
116 ('/wemake_python_styleguide/violations/best_practices.py', 'MultipleAssignmentsViolation_class_initializer', 'previous_codes')
117 ('/wemake_python_styleguide/violations/best_practices.py', 'NestedFunctionViolation_class_initializer', 'error_template')
118 ('/wemake_python_styleguide/violations/best_practices.py', 'NestedFunctionViolation_class_initializer', 'code')
119 ('/wemake_python_styleguide/violations/best_practices.py', 'NestedClassViolation_class_initializer', 'error_template')
120 ('/wemake_python_styleguide/violations/best_practices.py', 'NestedClassViolation_class_initializer', 'code')
121 ('/wemake_python_styleguide/violations/best_practices.py', 'MagicNumberViolation_class_initializer', 'code')
122 ('/wemake_python_styleguide/violations/best_practices.py', 'MagicNumberViolation_class_initializer', 'error_template')
123 ('/wemake_python_styleguide/violations/best_practices.py', 'NestedImportViolation_class_initializer', 'error_template')
124 ('/wemake_python_styleguide/violations/best_practices.py', 'NestedImportViolation_class_initializer', 'code')
125 ('/wemake_python_styleguide/violations/best_practices.py', 'NestedImportViolation_class_initializer', 'previous_codes')
126 ('/wemake_python_styleguide/violations/best_practices.py', 'ReassigningVariableToItselfViolation_class_initializer', 'error_template')
127 ('/wemake_python_styleguide/violations/best_practices.py', 'ReassigningVariableToItselfViolation_class_initializer', 'code')
128 ('/wemake_python_styleguide/violations/best_practices.py', 'ReassigningVariableToItselfViolation_class_initializer', 'previous_codes')
129 ('/wemake_python_styleguide/violations/best_practices.py', 'ListMultiplyViolation_class_initializer', 'error_template')
130 ('/wemake_python_styleguide/violations/best_practices.py', 'ListMultiplyViolation_class_initializer', 'code')
131 ('/wemake_python_styleguide/violations/best_practices.py', 'ProtectedModuleViolation_class_initializer', 'error_template')
132 ('/wemake_python_styleguide/violations/best_practices.py', 'ProtectedModuleViolation_class_initializer', 'code')
133 ('/wemake_python_styleguide/violations/best_practices.py', 'ProtectedModuleViolation_class_initializer', 'previous_codes')
134 ('/wemake_python_styleguide/violations/best_practices.py', 'ProtectedAttributeViolation_class_initializer', 'error_template')
135 ('/wemake_python_styleguide/violations/best_practices.py', 'ProtectedAttributeViolation_class_initializer', 'code')
136 ('/wemake_python_styleguide/violations/best_practices.py', 'ProtectedAttributeViolation_class_initializer', 'previous_codes')
137 ('/wemake_python_styleguide/violations/best_practices.py', 'StopIterationInsideGeneratorViolation_class_initializer', 'error_template')
138 ('/wemake_python_styleguide/violations/best_practices.py', 'StopIterationInsideGeneratorViolation_class_initializer', 'code')
139 ('/wemake_python_styleguide/violations/best_practices.py', 'WrongUnicodeEscapeViolation_class_initializer', 'error_template')
140 ('/wemake_python_styleguide/violations/best_practices.py', 'WrongUnicodeEscapeViolation_class_initializer', 'code')
141 ('/wemake_python_styleguide/violations/best_practices.py', 'BlockAndLocalOverlapViolation_class_initializer', 'error_template')
142 ('/wemake_python_styleguide/violations/best_practices.py', 'BlockAndLocalOverlapViolation_class_initializer', 'code')
143 ('/wemake_python_styleguide/violations/best_practices.py', 'ControlVarUsedAfterBlockViolation_class_initializer', 'error_template')
144 ('/wemake_python_styleguide/violations/best_practices.py', 'ControlVarUsedAfterBlockViolation_class_initializer', 'code')
145 ('/wemake_python_styleguide/violations/best_practices.py', 'OuterScopeShadowingViolation_class_initializer', 'error_template')
146 ('/wemake_python_styleguide/violations/best_practices.py', 'OuterScopeShadowingViolation_class_initializer', 'code')
147 ('/wemake_python_styleguide/violations/best_practices.py', 'UnhashableTypeInHashViolation_class_initializer', 'error_template')
148 ('/wemake_python_styleguide/violations/best_practices.py', 'UnhashableTypeInHashViolation_class_initializer', 'code')
149 ('/wemake_python_styleguide/violations/best_practices.py', 'WrongKeywordConditionViolation_class_initializer', 'error_template')
150 ('/wemake_python_styleguide/violations/best_practices.py', 'WrongKeywordConditionViolation_class_initializer', 'code')
151 ('/wemake_python_styleguide/violations/best_practices.py', 'WrongNamedKeywordViolation_class_initializer', 'code')
152 ('/wemake_python_styleguide/violations/best_practices.py', 'WrongNamedKeywordViolation_class_initializer', 'error_template')
153 ('/wemake_python_styleguide/violations/best_practices.py', 'ApproximateConstantViolation_class_initializer', 'code')
154 ('/wemake_python_styleguide/violations/best_practices.py', 'ApproximateConstantViolation_class_initializer', 'error_template')
155 ('/wemake_python_styleguide/violations/best_practices.py', 'StringConstantRedefinedViolation_class_initializer', 'error_template')
156 ('/wemake_python_styleguide/violations/best_practices.py', 'StringConstantRedefinedViolation_class_initializer', 'code')
157 ('/wemake_python_styleguide/violations/best_practices.py', 'IncorrectExceptOrderViolation_class_initializer', 'error_template')
158 ('/wemake_python_styleguide/violations/best_practices.py', 'IncorrectExceptOrderViolation_class_initializer', 'code')
159 ('/wemake_python_styleguide/violations/best_practices.py', 'FloatKeyViolation_class_initializer', 'error_template')
160 ('/wemake_python_styleguide/violations/best_practices.py', 'FloatKeyViolation_class_initializer', 'code')
161 ('/wemake_python_styleguide/violations/best_practices.py', 'ProtectedModuleMemberViolation_class_initializer', 'error_template')
162 ('/wemake_python_styleguide/violations/best_practices.py', 'ProtectedModuleMemberViolation_class_initializer', 'code')
163 ('/wemake_python_styleguide/violations/best_practices.py', 'PositionalOnlyArgumentsViolation_class_initializer', 'error_template')
164 ('/wemake_python_styleguide/violations/best_practices.py', 'PositionalOnlyArgumentsViolation_class_initializer', 'code')
165 ('/wemake_python_styleguide/violations/best_practices.py', 'LoopControlFinallyViolation_class_initializer', 'error_template')
166 ('/wemake_python_styleguide/violations/best_practices.py', 'LoopControlFinallyViolation_class_initializer', 'code')
167 ('/wemake_python_styleguide/violations/best_practices.py', 'ShebangViolation_class_initializer', 'error_template')
168 ('/wemake_python_styleguide/violations/best_practices.py', 'ShebangViolation_class_initializer', 'code')
169 ('/wemake_python_styleguide/violations/best_practices.py', 'BaseExceptionRaiseViolation_class_initializer', 'error_template')
170 ('/wemake_python_styleguide/violations/best_practices.py', 'BaseExceptionRaiseViolation_class_initializer', 'code')
171 ('/wemake_python_styleguide/violations/best_practices.py', 'NonTrivialExceptViolation_class_initializer', 'error_template')
172 ('/wemake_python_styleguide/violations/best_practices.py', 'NonTrivialExceptViolation_class_initializer', 'code')
173 ('/wemake_python_styleguide/violations/best_practices.py', 'FloatingNanViolation_class_initializer', 'error_template')
174 ('/wemake_python_styleguide/violations/best_practices.py', 'FloatingNanViolation_class_initializer', 'code')
175 ('/wemake_python_styleguide/violations/best_practices.py', 'InfiniteWhileLoopViolation_class_initializer', 'error_template')
176 ('/wemake_python_styleguide/violations/best_practices.py', 'InfiniteWhileLoopViolation_class_initializer', 'code')
177 ('/wemake_python_styleguide/violations/best_practices.py', 'ImportCollisionViolation_class_initializer', 'error_template')
178 ('/wemake_python_styleguide/violations/best_practices.py', 'ImportCollisionViolation_class_initializer', 'code')
179 ('/wemake_python_styleguide/violations/best_practices.py', 'FloatComplexCompareViolation_class_initializer', 'error_template')
180 ('/wemake_python_styleguide/violations/best_practices.py', 'FloatComplexCompareViolation_class_initializer', 'code')
181 ('/wemake_python_styleguide/violations/best_practices.py', 'SingleElementDestructuringViolation_class_initializer', 'error_template')
182 ('/wemake_python_styleguide/violations/best_practices.py', 'SingleElementDestructuringViolation_class_initializer', 'code')
183 ('/wemake_python_styleguide/violations/best_practices.py', 'ForbiddenInlineIgnoreViolation_class_initializer', 'error_template')
184 ('/wemake_python_styleguide/violations/best_practices.py', 'ForbiddenInlineIgnoreViolation_class_initializer', 'code')
185 ('/wemake_python_styleguide/violations/best_practices.py', 'WrongMultilineStringUseViolation_class_initializer', 'error_template')
186 ('/wemake_python_styleguide/violations/best_practices.py', 'WrongMultilineStringUseViolation_class_initializer', 'code')
187 ('/wemake_python_styleguide/violations/best_practices.py', 'GetterWithoutReturnViolation_class_initializer', 'error_template')
188 ('/wemake_python_styleguide/violations/best_practices.py', 'GetterWithoutReturnViolation_class_initializer', 'code')
189 ('/wemake_python_styleguide/violations/best_practices.py', 'EmptyCommentViolation_class_initializer', 'error_template')
190 ('/wemake_python_styleguide/violations/best_practices.py', 'EmptyCommentViolation_class_initializer', 'code')
191 ('/wemake_python_styleguide/violations/best_practices.py', 'BitwiseAndBooleanMixupViolation_class_initializer', 'error_template')
192 ('/wemake_python_styleguide/violations/best_practices.py', 'BitwiseAndBooleanMixupViolation_class_initializer', 'code')
193 ('/wemake_python_styleguide/options/config.py', 'module_initializer', 'ConfigValuesTypes')
194 ('/wemake_python_styleguide/options/config.py', 'module_initializer', 'string')
195 ('/docs/conf.py', 'module_initializer', 'pkg_meta')
196 ('/docs/conf.py', 'module_initializer', 'project')
197 ('/docs/conf.py', 'module_initializer', 'copyright')
198 ('/docs/conf.py', 'module_initializer', 'author')
199 ('/docs/conf.py', 'module_initializer', 'version')
200 ('/docs/conf.py', 'module_initializer', 'release')
201 ('/docs/conf.py', 'module_initializer', 'needs_sphinx')
202 ('/docs/conf.py', 'module_initializer', 'extensions')
203 ('/docs/conf.py', 'module_initializer', 'autoclass_content')
204 ('/docs/conf.py', 'module_initializer', 'autodoc_member_order')
205 ('/docs/conf.py', 'module_initializer', 'autodoc_mock_imports')
206 ('/docs/conf.py', 'module_initializer', 'autodoc_default_options')
207 ('/docs/conf.py', 'module_initializer', 'set_type_checking_flag')
208 ('/docs/conf.py', 'module_initializer', 'always_document_param_types')
209 ('/docs/conf.py', 'module_initializer', 'templates_path')
210 ('/docs/conf.py', 'module_initializer', 'source_suffix')
211 ('/docs/conf.py', 'module_initializer', 'master_doc')
212 ('/docs/conf.py', 'module_initializer', 'language')
213 ('/docs/conf.py', 'module_initializer', 'exclude_patterns')
214 ('/docs/conf.py', 'module_initializer', 'pygments_style')
215 ('/docs/conf.py', 'module_initializer', 'add_module_names')
216 ('/docs/conf.py', 'module_initializer', 'html_theme')
217 ('/docs/conf.py', 'module_initializer', 'html_theme_options')
218 ('/docs/conf.py', 'module_initializer', 'html_static_path')
219 ('/docs/conf.py', 'module_initializer', 'html_sidebars')
220 ('/docs/conf.py', 'module_initializer', 'htmlhelp_basename')
221 ('/docs/conf.py', 'module_initializer', 'latex_elements')
222 ('/docs/conf.py', 'module_initializer', 'latex_documents')
223 ('/docs/conf.py', 'module_initializer', 'man_pages')
224 ('/docs/conf.py', 'module_initializer', 'texinfo_documents')
225 ('/docs/conf.py', 'module_initializer', 'napoleon_numpy_docstring')
226 ('/docs/conf.py', 'module_initializer', 'todo_include_todos')
227 ('/scripts/check_generic_visit.py', 'module_initializer', 'FAIL_CODE')
228 ('/scripts/check_generic_visit.py', 'module_initializer', 'OK_CODE')
229 ('/scripts/check_generic_visit.py', 'module_initializer', 'PATTERN')
230 ('/scripts/check_generic_visit.py', 'module_initializer', 'my_print')
231 ('/scripts/check_generic_visit.py', 'module_initializer', 'matches')
232 ('/scripts/check_generic_visit.py', 'module_initializer', 'fn')
233 ('/scripts/check_generic_visit.py', 'module_initializer', 'line')
234 ('/scripts/check_generic_visit.py', 'module_initializer', 'source')
235 ('/scripts/check_generic_visit.py', 'module_initializer', 'lines')
236 ('/scripts/check_generic_visit.py', 'module_initializer', 'highlighted')
237 ('/wemake_python_styleguide/formatter.py', 'module_initializer', 'DOCS_URL_TEMPLATE')
238 ('/wemake_python_styleguide/version.py', 'module_initializer', 'pkg_name')
239 ('/wemake_python_styleguide/version.py', 'module_initializer', 'pkg_version')
240 ('/wemake_python_styleguide/types.py', 'module_initializer', 'AnyText')
241 ('/wemake_python_styleguide/types.py', 'module_initializer', 'AnyImport')
242 ('/wemake_python_styleguide/types.py', 'module_initializer', 'AnyFunctionDef')
243 ('/wemake_python_styleguide/types.py', 'module_initializer', 'AnyFunctionDefAndLambda')
244 ('/wemake_python_styleguide/types.py', 'module_initializer', 'AnyIf')
245 ('/wemake_python_styleguide/types.py', 'module_initializer', 'AnyFor')
246 ('/wemake_python_styleguide/types.py', 'module_initializer', 'AnyLoop')
247 ('/wemake_python_styleguide/types.py', 'module_initializer', 'AnyComprehension')
248 ('/wemake_python_styleguide/types.py', 'module_initializer', 'AnyWith')
249 ('/wemake_python_styleguide/types.py', 'module_initializer', 'AnyNodes')
250 ('/wemake_python_styleguide/types.py', 'module_initializer', 'AnyAssign')
251 ('/wemake_python_styleguide/types.py', 'module_initializer', 'ContextNodes')
252 ('/wemake_python_styleguide/types.py', 'module_initializer', 'AnyAccess')
253 ('/wemake_python_styleguide/types.py', 'module_initializer', 'AnyChainable')
254 ('/wemake_python_styleguide/types.py', 'module_initializer', 'AnyTextPrimitive')
255 ('/wemake_python_styleguide/types.py', 'module_initializer', 'CheckResult')
256 ('/wemake_python_styleguide/checker.py', 'module_initializer', 'VisitorClass')
257 ('/wemake_python_styleguide/checker.py', 'Checker_class_initializer', 'config')
258 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MIN_NAME_LENGTH')
259 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_NAME_LENGTH')
260 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'I_CONTROL_CODE')
261 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_NOQA_COMMENTS')
262 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'NESTED_CLASSES_WHITELIST')
263 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'ALLOWED_DOMAIN_NAMES')
264 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'FORBIDDEN_DOMAIN_NAMES')
265 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'FORBIDDEN_INLINE_IGNORE')
266 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_RETURNS')
267 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_LOCAL_VARIABLES')
268 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_EXPRESSIONS')
269 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_ARGUMENTS')
270 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_MODULE_MEMBERS')
271 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_METHODS')
272 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_LINE_COMPLEXITY')
273 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_JONES_SCORE')
274 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_IMPORTS')
275 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_IMPORTED_NAMES')
276 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_BASE_CLASSES')
277 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_DECORATORS')
278 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_STRING_USAGES')
279 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_AWAITS')
280 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_TRY_BODY_LENGTH')
281 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_MODULE_EXPRESSIONS')
282 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_FUNCTION_EXPRESSIONS')
283 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_ASSERTS')
284 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_ACCESS_LEVEL')
285 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_ATTRIBUTES')
286 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_RAISES')
287 ('/wemake_python_styleguide/options/defaults.py', 'module_initializer', 'MAX_COGNITIVE_SCORE')
