0 ('/explore.py', 'module_initializer', 'zfuse')
46 ('/zfs/posix/attributes/systemattributes.py', 'SystemAttributeMagic_class_initializer', 'magic')
47 ('/zfs/posix/attributes/systemattributes.py', 'SystemAttributeMagic_class_initializer', 'layout')
48 ('/zfs/posix/attributes/systemattributes.py', 'SystemAttributeMagic_class_initializer', 'unknown1')
49 ('/zfs/posix/attributes/systemattributes.py', 'SystemAttributeMagic_class_initializer', 'unknown2')
50 ('/zfs/posix/attributes/systemattributes.py', 'SystemAttributeMagic_class_initializer', 'unknown3')
51 ('/zfs/posix/attributes/__init__.py', 'module_initializer', 'logger')
52 ('/zfs/posix/attributes/__init__.py', 'PosixType_class_initializer', 'FIFO')
53 ('/zfs/posix/attributes/__init__.py', 'PosixType_class_initializer', 'CHARACTER')
54 ('/zfs/posix/attributes/__init__.py', 'PosixType_class_initializer', 'DIRECTORY')
55 ('/zfs/posix/attributes/__init__.py', 'PosixType_class_initializer', 'BLOCK')
56 ('/zfs/posix/attributes/__init__.py', 'PosixType_class_initializer', 'REGULAR_FILE')
57 ('/zfs/posix/attributes/__init__.py', 'PosixType_class_initializer', 'SYMLINK')
58 ('/zfs/posix/attributes/__init__.py', 'PosixType_class_initializer', 'SOCKET')
59 ('/zfs/posix/attributes/__init__.py', 'PosixType_class_initializer', 'DOOR')
60 ('/zfs/posix/attributes/__init__.py', 'PosixType_class_initializer', 'PORT')
61 ('/zfs/posix/attributes/__init__.py', 'Mode_class_initializer', '__ENDIAN__')
62 ('/zfs/posix/attributes/__init__.py', 'Mode_class_initializer', 'mode')
63 ('/zfs/posix/attributes/__init__.py', 'Mode_class_initializer', 'perms')
64 ('/zfs/posix/attributes/__init__.py', 'Mode_class_initializer', 'unknown')
65 ('/zfs/posix/attributes/__init__.py', 'Mode_class_initializer', 'file_type')
66 ('/zfs/posix/attributes/__init__.py', 'Timestamp_class_initializer', '__ENDIAN__')
67 ('/zfs/posix/attributes/__init__.py', 'Timestamp_class_initializer', 'seconds')
68 ('/zfs/posix/attributes/__init__.py', 'Timestamp_class_initializer', 'nanoseconds')
69 ('/zfs/posix/attributes/__init__.py', 'ZNodeACE_class_initializer', 'who')
70 ('/zfs/posix/attributes/__init__.py', 'ZNodeACE_class_initializer', 'access_mask')
71 ('/zfs/posix/attributes/__init__.py', 'ZNodeACE_class_initializer', 'flags')
72 ('/zfs/posix/attributes/__init__.py', 'ZNodeACE_class_initializer', 'type')
73 ('/zfs/posix/attributes/__init__.py', 'ZNodeACL_class_initializer', 'external_object')
74 ('/zfs/posix/attributes/__init__.py', 'ZNodeACL_class_initializer', 'count')
75 ('/zfs/posix/attributes/__init__.py', 'ZNodeACL_class_initializer', 'version')
76 ('/zfs/posix/attributes/__init__.py', 'ZNodeACL_class_initializer', '_padding')
77 ('/zfs/posix/attributes/__init__.py', 'ZNodeACL_class_initializer', 'aces')
78 ('/zfs/posix/attributes/__init__.py', 'DefaultAttrsV1_class_initializer', '__ENDIAN__')
79 ('/zfs/posix/attributes/__init__.py', 'DefaultAttrsV1_class_initializer', 'ZPL_ATIME')
80 ('/zfs/posix/attributes/__init__.py', 'DefaultAttrsV1_class_initializer', 'ZPL_MTIME')
81 ('/zfs/posix/attributes/__init__.py', 'DefaultAttrsV1_class_initializer', 'ZPL_CTIME')
82 ('/zfs/posix/attributes/__init__.py', 'DefaultAttrsV1_class_initializer', 'ZPL_CRTIME')
83 ('/zfs/posix/attributes/__init__.py', 'DefaultAttrsV1_class_initializer', 'ZPL_GEN')
84 ('/zfs/posix/attributes/__init__.py', 'DefaultAttrsV1_class_initializer', 'ZPL_MODE')
85 ('/zfs/posix/attributes/__init__.py', 'DefaultAttrsV1_class_initializer', 'ZPL_SIZE')
86 ('/zfs/posix/attributes/__init__.py', 'DefaultAttrsV1_class_initializer', 'ZPL_PARENT')
87 ('/zfs/posix/attributes/__init__.py', 'DefaultAttrsV1_class_initializer', 'ZPL_LINKS')
88 ('/zfs/posix/attributes/__init__.py', 'DefaultAttrsV1_class_initializer', 'ZPL_XATTR')
89 ('/zfs/posix/attributes/__init__.py', 'DefaultAttrsV1_class_initializer', 'ZPL_RDEV')
90 ('/zfs/posix/attributes/__init__.py', 'DefaultAttrsV1_class_initializer', 'ZPL_FLAGS')
91 ('/zfs/posix/attributes/__init__.py', 'DefaultAttrsV1_class_initializer', 'ZPL_UID')
92 ('/zfs/posix/attributes/__init__.py', 'DefaultAttrsV1_class_initializer', 'ZPL_GID')
93 ('/zfs/posix/attributes/__init__.py', 'DefaultAttrsV1_class_initializer', 'padding')
94 ('/zfs/posix/attributes/__init__.py', 'DefaultAttrsV1_class_initializer', 'acl')
95 ('/zfs/posix/posix_file.py', 'module_initializer', 'logger')
96 ('/zfs/ondisk/zap.py', 'ZapType_class_initializer', 'ZAPLeaf')
97 ('/zfs/ondisk/zap.py', 'ZapType_class_initializer', 'ZAPHeader')
98 ('/zfs/ondisk/zap.py', 'ZapType_class_initializer', 'MicroZAP')
99 ('/zfs/ondisk/zap.py', 'MicroZAPHeader_class_initializer', '__ENDIAN__')
100 ('/zfs/ondisk/zap.py', 'MicroZAPHeader_class_initializer', 'block_type')
101 ('/zfs/ondisk/zap.py', 'MicroZAPHeader_class_initializer', 'salt')
102 ('/zfs/ondisk/zap.py', 'MicroZAPHeader_class_initializer', 'flags')
103 ('/zfs/ondisk/zap.py', 'MicroZAPHeader_class_initializer', '_pad')
104 ('/zfs/ondisk/zap.py', 'MicroZAPCommon_class_initializer', '__ENDIAN__')
105 ('/zfs/ondisk/zap.py', 'MicroZAPCommon_class_initializer', '_pad')
106 ('/zfs/ondisk/zap.py', 'MicroZAPCommon_class_initializer', 'collision')
107 ('/zfs/ondisk/zap.py', 'MicroZAPCommon_class_initializer', 'name')
108 ('/zfs/ondisk/zap.py', 'MicroZAP_class_initializer', '__ENDIAN__')
109 ('/zfs/ondisk/zap.py', 'MicroZAP_class_initializer', 'value')
110 ('/zfs/ondisk/zap.py', 'MicroZAP_class_initializer', 'hdr')
111 ('/zfs/ondisk/zap.py', 'SARegistrationMicroZAP_class_initializer', '__ENDIAN__')
112 ('/zfs/ondisk/zap.py', 'SARegistrationMicroZAP_class_initializer', '_value')
113 ('/zfs/ondisk/zap.py', 'SARegistrationMicroZAP_class_initializer', 'attr_num')
114 ('/zfs/ondisk/zap.py', 'SARegistrationMicroZAP_class_initializer', 'byteswap')
115 ('/zfs/ondisk/zap.py', 'SARegistrationMicroZAP_class_initializer', 'length')
116 ('/zfs/ondisk/zap.py', 'SARegistrationMicroZAP_class_initializer', 'hdr')
117 ('/zfs/ondisk/__init__.py', 'module_initializer', 'Objset')
118 ('/zfs/ondisk/__init__.py', 'module_initializer', 'ObjectsetTypes')
119 ('/zfs/ondisk/__init__.py', 'module_initializer', 'Objectsets')
120 ('/zfs/ondisk/__init__.py', 'module_initializer', 'indirect_cache')
121 ('/zfs/ondisk/__init__.py', 'dva_class_initializer', '__ENDIAN__')
122 ('/zfs/ondisk/__init__.py', 'dva_class_initializer', '_first')
123 ('/zfs/ondisk/__init__.py', 'dva_class_initializer', 'vdev')
124 ('/zfs/ondisk/__init__.py', 'dva_class_initializer', 'grid')
125 ('/zfs/ondisk/__init__.py', 'dva_class_initializer', 'asize')
126 ('/zfs/ondisk/__init__.py', 'dva_class_initializer', '_offset')
127 ('/zfs/ondisk/__init__.py', 'dva_class_initializer', 'gang')
128 ('/zfs/ondisk/__init__.py', 'dva_class_initializer', 'offset')
129 ('/zfs/ondisk/__init__.py', 'Blockptr_class_initializer', '__ENDIAN__')
130 ('/zfs/ondisk/__init__.py', 'Blockptr_class_initializer', 'dvas')
131 ('/zfs/ondisk/__init__.py', 'Blockptr_class_initializer', '_prop')
132 ('/zfs/ondisk/__init__.py', 'Blockptr_class_initializer', 'logical_size')
133 ('/zfs/ondisk/__init__.py', 'Blockptr_class_initializer', 'physical_size')
134 ('/zfs/ondisk/__init__.py', 'Blockptr_class_initializer', 'compression')
135 ('/zfs/ondisk/__init__.py', 'Blockptr_class_initializer', 'encryption')
136 ('/zfs/ondisk/__init__.py', 'Blockptr_class_initializer', 'embedded')
137 ('/zfs/ondisk/__init__.py', 'Blockptr_class_initializer', 'checksum_type')
138 ('/zfs/ondisk/__init__.py', 'Blockptr_class_initializer', 'object_type')
139 ('/zfs/ondisk/__init__.py', 'Blockptr_class_initializer', 'level')
140 ('/zfs/ondisk/__init__.py', 'Blockptr_class_initializer', 'dedup')
141 ('/zfs/ondisk/__init__.py', 'Blockptr_class_initializer', 'endian')
142 ('/zfs/ondisk/__init__.py', 'Blockptr_class_initializer', 'pad')
143 ('/zfs/ondisk/__init__.py', 'Blockptr_class_initializer', 'phys_birth')
144 ('/zfs/ondisk/__init__.py', 'Blockptr_class_initializer', 'birth')
145 ('/zfs/ondisk/__init__.py', 'Blockptr_class_initializer', 'fill')
146 ('/zfs/ondisk/__init__.py', 'Blockptr_class_initializer', 'checksum')
147 ('/zfs/constants.py', 'module_initializer', 'POOL_VERSION')
148 ('/zfs/constants.py', 'Compression_class_initializer', 'INHERIT')
149 ('/zfs/constants.py', 'Compression_class_initializer', 'ON')
150 ('/zfs/constants.py', 'Compression_class_initializer', 'OFF')
151 ('/zfs/constants.py', 'Compression_class_initializer', 'LZJB')
152 ('/zfs/constants.py', 'Compression_class_initializer', 'EMPTY')
153 ('/zfs/constants.py', 'Compression_class_initializer', 'GZIP_1')
154 ('/zfs/constants.py', 'Compression_class_initializer', 'GZIP_2')
155 ('/zfs/constants.py', 'Compression_class_initializer', 'GZIP_3')
156 ('/zfs/constants.py', 'Compression_class_initializer', 'GZIP_4')
157 ('/zfs/constants.py', 'Compression_class_initializer', 'GZIP_5')
158 ('/zfs/constants.py', 'Compression_class_initializer', 'GZIP_6')
159 ('/zfs/constants.py', 'Compression_class_initializer', 'GZIP_7')
160 ('/zfs/constants.py', 'Compression_class_initializer', 'GZIP_8')
161 ('/zfs/constants.py', 'Compression_class_initializer', 'GZIP_9')
162 ('/zfs/constants.py', 'Compression_class_initializer', 'ZLE')
163 ('/zfs/constants.py', 'Compression_class_initializer', 'LZ4')
164 ('/zfs/constants.py', 'Checksum_class_initializer', 'INHERIT')
165 ('/zfs/constants.py', 'Checksum_class_initializer', 'ON')
166 ('/zfs/constants.py', 'Checksum_class_initializer', 'OFF')
167 ('/zfs/constants.py', 'Checksum_class_initializer', 'LABEL')
168 ('/zfs/constants.py', 'Checksum_class_initializer', 'GANG_HEADER')
169 ('/zfs/constants.py', 'Checksum_class_initializer', 'ZILOG')
170 ('/zfs/constants.py', 'Checksum_class_initializer', 'FLETCHER_2')
171 ('/zfs/constants.py', 'Checksum_class_initializer', 'FLETCHER_4')
172 ('/zfs/constants.py', 'Checksum_class_initializer', 'SHA256')
173 ('/zfs/constants.py', 'Checksum_class_initializer', 'ZILOG2')
174 ('/zfs/constants.py', 'Checksum_class_initializer', 'NOPARITY')
175 ('/zfs/constants.py', 'ObjectSetType_class_initializer', 'NONE')
176 ('/zfs/constants.py', 'ObjectSetType_class_initializer', 'META')
177 ('/zfs/constants.py', 'ObjectSetType_class_initializer', 'ZFS')
178 ('/zfs/constants.py', 'ObjectSetType_class_initializer', 'ZVOL')
179 ('/zfs/constants.py', 'TryConfig_class_initializer', 'read_all_dvas')
180 ('/zfs/constants.py', 'ObjectType_class_initializer', 'NONE')
181 ('/zfs/constants.py', 'ObjectType_class_initializer', 'OBJECT_DIRECTORY')
182 ('/zfs/constants.py', 'ObjectType_class_initializer', 'OBJECT_ARRAY')
183 ('/zfs/constants.py', 'ObjectType_class_initializer', 'PACKED_NVLIST')
184 ('/zfs/constants.py', 'ObjectType_class_initializer', 'PACKED_NVLIST_SIZE')
185 ('/zfs/constants.py', 'ObjectType_class_initializer', 'BPOBJ')
186 ('/zfs/constants.py', 'ObjectType_class_initializer', 'BPOBJ_HDR')
187 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SPACE_MAP_HEADER')
188 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SPACE_MAP')
189 ('/zfs/constants.py', 'ObjectType_class_initializer', 'INTENT_LOG')
190 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DNODE')
191 ('/zfs/constants.py', 'ObjectType_class_initializer', 'OBJSET')
192 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DSL_DIR')
193 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DSL_DIR_CHILD_MAP')
194 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DSL_DS_SNAP_MAP')
195 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DSL_PROPS')
196 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DSL_DATASET')
197 ('/zfs/constants.py', 'ObjectType_class_initializer', 'ZNODE')
198 ('/zfs/constants.py', 'ObjectType_class_initializer', 'OLDACL')
199 ('/zfs/constants.py', 'ObjectType_class_initializer', 'PLAIN_FILE_CONTENTS')
200 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DIRECTORY_CONTENTS')
201 ('/zfs/constants.py', 'ObjectType_class_initializer', 'MASTER_NODE')
202 ('/zfs/constants.py', 'ObjectType_class_initializer', 'UNLINKED_SET')
203 ('/zfs/constants.py', 'ObjectType_class_initializer', 'ZVOL')
204 ('/zfs/constants.py', 'ObjectType_class_initializer', 'ZVOL_PROP')
205 ('/zfs/constants.py', 'ObjectType_class_initializer', 'PLAIN_OTHER')
206 ('/zfs/constants.py', 'ObjectType_class_initializer', 'UINT64_OTHER')
207 ('/zfs/constants.py', 'ObjectType_class_initializer', 'ZAP_OTHER')
208 ('/zfs/constants.py', 'ObjectType_class_initializer', 'ERROR_LOG')
209 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SPA_HISTORY')
210 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SPA_HISTORY_OFFSETS')
211 ('/zfs/constants.py', 'ObjectType_class_initializer', 'POOL_PROPS')
212 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DSL_PERMS')
213 ('/zfs/constants.py', 'ObjectType_class_initializer', 'ACL')
214 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SYSACL')
215 ('/zfs/constants.py', 'ObjectType_class_initializer', 'FUID')
216 ('/zfs/constants.py', 'ObjectType_class_initializer', 'FUID_SIZE')
217 ('/zfs/constants.py', 'ObjectType_class_initializer', 'NEXT_CLONES')
218 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SCAN_QUEUE')
219 ('/zfs/constants.py', 'ObjectType_class_initializer', 'USERGROUP_USED')
220 ('/zfs/constants.py', 'ObjectType_class_initializer', 'USERGROUP_QUOTA')
221 ('/zfs/constants.py', 'ObjectType_class_initializer', 'USERREFS')
222 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DDT_ZAP')
223 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DDT_STATS')
224 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SA')
225 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SA_MASTER_NODE')
226 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SA_ATTR_REGISTRATION')
227 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SA_ATTR_LAYOUTS')
228 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SCAN_XLATE')
229 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DEDUP')
230 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DEADLIST')
231 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DEADLIST_HDR')
232 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DSL_CLONES')
233 ('/zfs/constants.py', 'ObjectType_class_initializer', 'BPOBJ_SUBOBJ')
234 ('/zfs/constants.py', 'ObjectType_class_initializer', 'FEATURE_DESCRIPTION')
235 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'CREATE')
236 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'MKDIR')
237 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'MKXATTR')
238 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'SYMLINK')
239 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'REMOVE')
240 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'RMDIR')
241 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'LINK')
242 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'RENAME')
243 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'WRITE')
244 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'TRUNCATE')
245 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'SETATTR')
246 ('/zfs/constants.py', 'ZILTypes_class_initializer', 'ACL')
247 ('/zfs/constants.py', 'ZapType_class_initializer', 'ZAPHeader')
248 ('/zfs/constants.py', 'ZapType_class_initializer', 'ZAPLeaf')
249 ('/zfs/constants.py', 'ZapType_class_initializer', 'MicroZAP')
250 ('/zfs/ondisk/__init__.py', 'EmbeddedBlockptr_class_initializer', '__ENDIAN__')
251 ('/zfs/ondisk/__init__.py', 'EmbeddedBlockptr_class_initializer', 'data1')
252 ('/zfs/ondisk/__init__.py', 'EmbeddedBlockptr_class_initializer', '_prop')
253 ('/zfs/ondisk/__init__.py', 'EmbeddedBlockptr_class_initializer', 'logical_size')
254 ('/zfs/ondisk/__init__.py', 'EmbeddedBlockptr_class_initializer', 'physical_size')
255 ('/zfs/ondisk/__init__.py', 'EmbeddedBlockptr_class_initializer', 'compression')
256 ('/zfs/ondisk/__init__.py', 'EmbeddedBlockptr_class_initializer', 'embedded')
257 ('/zfs/ondisk/__init__.py', 'EmbeddedBlockptr_class_initializer', 'embedded_type')
258 ('/zfs/ondisk/__init__.py', 'EmbeddedBlockptr_class_initializer', 'type_')
259 ('/zfs/ondisk/__init__.py', 'EmbeddedBlockptr_class_initializer', 'level')
260 ('/zfs/ondisk/__init__.py', 'EmbeddedBlockptr_class_initializer', 'encryption')
261 ('/zfs/ondisk/__init__.py', 'EmbeddedBlockptr_class_initializer', 'dedup')
262 ('/zfs/ondisk/__init__.py', 'EmbeddedBlockptr_class_initializer', 'endian')
263 ('/zfs/ondisk/__init__.py', 'EmbeddedBlockptr_class_initializer', 'data2')
264 ('/zfs/ondisk/__init__.py', 'EmbeddedBlockptr_class_initializer', 'birth')
265 ('/zfs/ondisk/__init__.py', 'EmbeddedBlockptr_class_initializer', 'data3')
266 ('/zfs/ondisk/__init__.py', 'GangBlock_class_initializer', 'MAGIC')
267 ('/zfs/ondisk/__init__.py', 'GangBlock_class_initializer', 'blocks')
268 ('/zfs/ondisk/__init__.py', 'GangBlock_class_initializer', '_pad')
269 ('/zfs/ondisk/__init__.py', 'GangBlock_class_initializer', 'magic')
270 ('/zfs/ondisk/__init__.py', 'GangBlock_class_initializer', 'checksum')
271 ('/zfs/ondisk/__init__.py', 'Uberblock_class_initializer', '__ENDIAN__')
272 ('/zfs/ondisk/__init__.py', 'Uberblock_class_initializer', 'MAGIC')
273 ('/zfs/ondisk/__init__.py', 'Uberblock_class_initializer', 'magic')
274 ('/zfs/ondisk/__init__.py', 'Uberblock_class_initializer', 'version')
275 ('/zfs/ondisk/__init__.py', 'Uberblock_class_initializer', 'txg')
276 ('/zfs/ondisk/__init__.py', 'Uberblock_class_initializer', 'guid_sum')
277 ('/zfs/ondisk/__init__.py', 'Uberblock_class_initializer', 'timestamp')
278 ('/zfs/ondisk/__init__.py', 'Uberblock_class_initializer', 'root')
279 ('/zfs/ondisk/__init__.py', 'Uberblock_class_initializer', 'software_version')
280 ('/zfs/ondisk/__init__.py', 'DNode_class_initializer', '__ENDIAN__')
281 ('/zfs/ondisk/__init__.py', 'DNode_class_initializer', 'node_type')
282 ('/zfs/ondisk/__init__.py', 'DNode_class_initializer', 'indirect_blockshift')
283 ('/zfs/ondisk/__init__.py', 'DNode_class_initializer', 'indirect_levels')
284 ('/zfs/ondisk/__init__.py', 'DNode_class_initializer', 'num_blockptrs')
285 ('/zfs/ondisk/__init__.py', 'DNode_class_initializer', 'bonustype')
286 ('/zfs/ondisk/__init__.py', 'DNode_class_initializer', 'checksum_type')
287 ('/zfs/ondisk/__init__.py', 'DNode_class_initializer', 'compression_type')
288 ('/zfs/ondisk/__init__.py', 'DNode_class_initializer', '_dnode_flags')
289 ('/zfs/ondisk/__init__.py', 'DNode_class_initializer', 'used_bytes')
290 ('/zfs/ondisk/__init__.py', 'DNode_class_initializer', 'userused')
291 ('/zfs/ondisk/__init__.py', 'DNode_class_initializer', 'spill_blkptr')
292 ('/zfs/ondisk/__init__.py', 'DNode_class_initializer', 'data_sectors')
293 ('/zfs/ondisk/__init__.py', 'DNode_class_initializer', 'bonuslen')
294 ('/zfs/ondisk/__init__.py', 'DNode_class_initializer', '_pad')
295 ('/zfs/ondisk/__init__.py', 'DNode_class_initializer', 'max_block_id')
296 ('/zfs/ondisk/__init__.py', 'DNode_class_initializer', 'used')
297 ('/zfs/ondisk/__init__.py', 'DNode_class_initializer', '_pad2')
298 ('/zfs/ondisk/__init__.py', 'DNode_class_initializer', 'blkptr')
299 ('/zfs/ondisk/__init__.py', 'DNode_class_initializer', 'bonus')
300 ('/zfs/ondisk/__init__.py', 'DNode_class_initializer', '_final_pad')
301 ('/zfs/ondisk/__init__.py', 'ZILHeader_class_initializer', 'claim_txg')
302 ('/zfs/ondisk/__init__.py', 'ZILHeader_class_initializer', 'replay_seq')
303 ('/zfs/ondisk/__init__.py', 'ZILHeader_class_initializer', 'log')
304 ('/zfs/ondisk/__init__.py', 'ZILHeader_class_initializer', 'claim_seq')
305 ('/zfs/ondisk/__init__.py', 'ZILHeader_class_initializer', '_pad')
306 ('/zfs/ondisk/__init__.py', 'ZILRecord_class_initializer', 'tx_type')
307 ('/zfs/ondisk/__init__.py', 'ZILRecord_class_initializer', 'length')
308 ('/zfs/ondisk/__init__.py', 'ZILRecord_class_initializer', 'txg')
309 ('/zfs/ondisk/__init__.py', 'ZILRecord_class_initializer', 'seq')
310 ('/zfs/ondisk/__init__.py', 'ObjsetV1_class_initializer', '__ENDIAN__')
311 ('/zfs/ondisk/__init__.py', 'ObjsetV1_class_initializer', 'meta_dnode')
312 ('/zfs/ondisk/__init__.py', 'ObjsetV1_class_initializer', 'zil_header')
313 ('/zfs/ondisk/__init__.py', 'ObjsetV1_class_initializer', 'os_type')
314 ('/zfs/ondisk/__init__.py', 'ObjsetV15_class_initializer', '__ENDIAN__')
315 ('/zfs/ondisk/__init__.py', 'ObjsetV15_class_initializer', 'meta_dnode')
316 ('/zfs/ondisk/__init__.py', 'ObjsetV15_class_initializer', 'zil_header')
317 ('/zfs/ondisk/__init__.py', 'ObjsetV15_class_initializer', 'os_type')
318 ('/zfs/ondisk/__init__.py', 'ObjsetV15_class_initializer', 'os_flags')
319 ('/zfs/ondisk/__init__.py', 'ObjsetV15_class_initializer', '_pad')
320 ('/zfs/ondisk/__init__.py', 'ObjsetV15_class_initializer', 'userused')
321 ('/zfs/ondisk/__init__.py', 'ObjsetV15_class_initializer', 'groupused')
322 ('/zfs/ondisk/__init__.py', 'DSLDir_class_initializer', '__ENDIAN__')
323 ('/zfs/ondisk/__init__.py', 'DSLDir_class_initializer', 'creation_time')
324 ('/zfs/ondisk/__init__.py', 'DSLDir_class_initializer', 'head_dataset')
325 ('/zfs/ondisk/__init__.py', 'DSLDir_class_initializer', 'parent')
326 ('/zfs/ondisk/__init__.py', 'DSLDir_class_initializer', 'clone_parent')
327 ('/zfs/ondisk/__init__.py', 'DSLDir_class_initializer', 'child_dir_zap')
328 ('/zfs/ondisk/__init__.py', 'DSLDir_class_initializer', 'used_bytes')
329 ('/zfs/ondisk/__init__.py', 'DSLDir_class_initializer', 'compressed_bytes')
330 ('/zfs/ondisk/__init__.py', 'DSLDir_class_initializer', 'uncompressed_bytes')
331 ('/zfs/ondisk/__init__.py', 'DSLDir_class_initializer', 'quota')
332 ('/zfs/ondisk/__init__.py', 'DSLDir_class_initializer', 'props_zap')
333 ('/zfs/ondisk/__init__.py', 'DSLDir_class_initializer', '_pad')
334 ('/zfs/ondisk/__init__.py', 'DSLDataset_class_initializer', '__ENDIAN__')
335 ('/zfs/ondisk/__init__.py', 'DSLDataset_class_initializer', 'dir')
336 ('/zfs/ondisk/__init__.py', 'DSLDataset_class_initializer', 'prev_snapshot')
337 ('/zfs/ondisk/__init__.py', 'DSLDataset_class_initializer', 'prev_snapshot_txg')
338 ('/zfs/ondisk/__init__.py', 'DSLDataset_class_initializer', 'next_snapshot')
339 ('/zfs/ondisk/__init__.py', 'DSLDataset_class_initializer', 'snapnames_zap')
