0 ('/pygal/view.py', 'x', 'x_ret')
40 ('/pygal/util.py', 'coord_project', 'coord_project_ret')
41 ('/pygal/util.py', 'cut', 'cut_ret')
42 ('/pygal/util.py', 'decorate', 'decorate_ret')
43 ('/pygal/util.py', 'deg', 'deg_ret')
44 ('/pygal/util.py', 'filter_kwargs', 'filter_kwargs_ret')
45 ('/pygal/util.py', 'float_format', 'float_format_ret')
46 ('/pygal/util.py', 'get_text_box', 'get_text_box_ret')
47 ('/pygal/util.py', 'get_texts_box', 'get_texts_box_ret')
48 ('/pygal/util.py', 'majorize', 'majorize_ret')
49 ('/pygal/util.py', 'mergextend', 'mergextend_ret')
50 ('/pygal/util.py', 'minify_css', 'minify_css_ret')
51 ('/pygal/util.py', 'rad', 'rad_ret')
52 ('/pygal/util.py', 'reverse_text_len', 'reverse_text_len_ret')
53 ('/pygal/util.py', 'round_to_float', 'round_to_float_ret')
54 ('/pygal/util.py', 'round_to_int', 'round_to_int_ret')
55 ('/pygal/util.py', 'round_to_scale', 'round_to_scale_ret')
56 ('/pygal/util.py', 'safe_enumerate', 'safe_enumerate_ret')
57 ('/pygal/util.py', 'split_title', 'split_title_ret')
58 ('/pygal/util.py', 'template', 'template_ret')
59 ('/pygal/util.py', 'text_len', 'text_len_ret')
60 ('/pygal/util.py', 'truncate', 'truncate_ret')
61 ('/pygal/colors.py', '_adjust', '_adjust_ret')
62 ('/pygal/colors.py', 'adjust', 'adjust_ret')
63 ('/pygal/colors.py', 'darken', 'darken_ret')
64 ('/pygal/colors.py', 'desaturate', 'desaturate_ret')
65 ('/pygal/colors.py', 'hsl_to_rgb', 'hsl_to_rgb_ret')
66 ('/pygal/colors.py', 'is_foreground_light', 'is_foreground_light_ret')
67 ('/pygal/colors.py', 'lighten', 'lighten_ret')
68 ('/pygal/colors.py', 'normalize_float', 'normalize_float_ret')
69 ('/pygal/colors.py', 'parse_color', 'parse_color_ret')
70 ('/pygal/colors.py', 'rgb_to_hsl', 'rgb_to_hsl_ret')
71 ('/pygal/colors.py', 'rotate', 'rotate_ret')
72 ('/pygal/colors.py', 'saturate', 'saturate_ret')
73 ('/pygal/colors.py', 'unparse_color', 'unparse_color_ret')
74 ('/pygal/config.py', 'copy', 'copy_ret')
75 ('/pygal/config.py', 'to_dict', 'to_dict_ret')
76 ('/pygal/config.py', '__repr__', '__repr___ret')
77 ('/pygal/config.py', 'coerce', 'coerce_ret')
78 ('/pygal/config.py', '__new__', '__new___ret')
79 ('/pygal/formatters.py', '__call__', '__call___ret')
80 ('/pygal/interpolate.py', 'cubic_interpolate', 'cubic_interpolate_ret')
81 ('/pygal/interpolate.py', 'hermite_interpolate', 'hermite_interpolate_ret')
82 ('/pygal/interpolate.py', 'lagrange_interpolate', 'lagrange_interpolate_ret')
83 ('/pygal/interpolate.py', 'quadratic_interpolate', 'quadratic_interpolate_ret')
84 ('/pygal/interpolate.py', 'trigonometric_interpolate', 'trigonometric_interpolate_ret')
85 ('/pygal/adapters.py', 'decimal_to_float', 'decimal_to_float_ret')
86 ('/pygal/adapters.py', 'none_to_zero', 'none_to_zero_ret')
87 ('/pygal/adapters.py', 'not_zero', 'not_zero_ret')
88 ('/pygal/adapters.py', 'positive', 'positive_ret')
89 ('/pygal/graph/stackedline.py', '_fill', '_fill_ret')
90 ('/pygal/graph/stackedline.py', '_value_format', '_value_format_ret')
91 ('/pygal/graph/base.py', '__getattribute__', '__getattribute___ret')
92 ('/pygal/graph/base.py', '_repr_png_', '_repr_png__ret')
93 ('/pygal/graph/base.py', '_repr_svg_', '_repr_svg__ret')
94 ('/pygal/graph/base.py', 'prepare_values', 'prepare_values_ret')
95 ('/pygal/graph/graph.py', '_format', '_format_ret')
96 ('/pygal/graph/graph.py', '_get_x_label', '_get_x_label_ret')
97 ('/pygal/graph/graph.py', '_has_data', '_has_data_ret')
98 ('/pygal/graph/graph.py', '_interpolate', '_interpolate_ret')
99 ('/pygal/graph/graph.py', '_rescale', '_rescale_ret')
100 ('/pygal/graph/graph.py', '_serie_format', '_serie_format_ret')
101 ('/pygal/graph/graph.py', '_value_format', '_value_format_ret')
102 ('/pygal/graph/graph.py', '_x_label_format_if_value', '_x_label_format_if_value_ret')
103 ('/pygal/graph/graph.py', 'add_squares', 'add_squares_ret')
104 ('/pygal/graph/pie.py', 'slice', 'slice_ret')
105 ('/pygal/graph/box.py', '_box_points', '_box_points_ret')
106 ('/pygal/graph/box.py', '_draw_box', '_draw_box_ret')
107 ('/pygal/graph/box.py', '_value_format', '_value_format_ret')
108 ('/pygal/graph/dual.py', '_value_format', '_value_format_ret')
109 ('/pygal/graph/bar.py', '_bar', '_bar_ret')
110 ('/pygal/graph/line.py', '_fill', '_fill_ret')
111 ('/pygal/graph/solidgauge.py', '_current_square', '_current_square_ret')
112 ('/pygal/graph/solidgauge.py', '_squares', '_squares_ret')
113 ('/pygal/graph/pyramid.py', '_bar', '_bar_ret')
114 ('/pygal/graph/pyramid.py', '_get_separated_values', '_get_separated_values_ret')
115 ('/pygal/graph/pyramid.py', '_value_format', '_value_format_ret')
116 ('/pygal/graph/stackedbar.py', '_bar', '_bar_ret')
117 ('/pygal/graph/stackedbar.py', '_get_separated_values', '_get_separated_values_ret')
118 ('/pygal/graph/time.py', 'date_to_datetime', 'date_to_datetime_ret')
119 ('/pygal/graph/time.py', 'datetime_to_time', 'datetime_to_time_ret')
120 ('/pygal/graph/time.py', 'datetime_to_timestamp', 'datetime_to_timestamp_ret')
121 ('/pygal/graph/time.py', 'seconds_to_time', 'seconds_to_time_ret')
122 ('/pygal/graph/time.py', 'time_to_datetime', 'time_to_datetime_ret')
123 ('/pygal/graph/time.py', 'time_to_seconds', 'time_to_seconds_ret')
124 ('/pygal/graph/time.py', 'timedelta_to_seconds', 'timedelta_to_seconds_ret')
125 ('/pygal/graph/funnel.py', '_center', '_center_ret')
126 ('/pygal/graph/funnel.py', '_value_format', '_value_format_ret')
127 ('/pygal/graph/histogram.py', '_bar', '_bar_ret')
128 ('/pygal/graph/horizontal.py', '_get_x_label', '_get_x_label_ret')
129 ('/pygal/graph/public.py', '__call__', '__call___ret')
130 ('/pygal/graph/public.py', 'add', 'add_ret')
131 ('/pygal/graph/public.py', 'add_xml_filter', 'add_xml_filter_ret')
132 ('/pygal/graph/public.py', 'render', 'render_ret')
133 ('/pygal/graph/public.py', 'render_data_uri', 'render_data_uri_ret')
134 ('/pygal/graph/public.py', 'render_django_response', 'render_django_response_ret')
135 ('/pygal/graph/public.py', 'render_pyquery', 'render_pyquery_ret')
136 ('/pygal/graph/public.py', 'render_response', 'render_response_ret')
137 ('/pygal/graph/public.py', 'render_sparkline', 'render_sparkline_ret')
138 ('/pygal/graph/public.py', 'render_sparktext', 'render_sparktext_ret')
139 ('/pygal/graph/public.py', 'render_table', 'render_table_ret')
140 ('/pygal/graph/public.py', 'render_to_png', 'render_to_png_ret')
141 ('/pygal/graph/public.py', 'render_tree', 'render_tree_ret')
142 ('/pygal/graph/map.py', '_value_format', '_value_format_ret')
143 ('/pygal/graph/map.py', 'adapt_code', 'adapt_code_ret')
144 ('/pygal/graph/map.py', 'enumerate_values', 'enumerate_values_ret')
145 ('/pygal/graph/radar.py', '_fill', '_fill_ret')
146 ('/perf.py', 'perf', 'chart_name')
147 ('/perf.py', 'perf', 'length')
148 ('/perf.py', 'perf', 'series')
149 ('/perf.py', 'perf', 'chart')
150 ('/perf.py', 'perf', 'i')
151 ('/perf.py', 'prt', 's')
152 ('/perf.py', 'cht', 's')
153 ('/perf.py', 'print_mem', 'mem')
154 ('/perf.py', 'print_mem', 'f')
155 ('/perf.py', 'print_mem', 'line')
156 ('/perf.py', 'module_initializer', 'sizes')
157 ('/perf.py', 'module_initializer', 'rands')
158 ('/perf.py', 'module_initializer', 'bench')
159 ('/perf.py', 'module_initializer', 'c')
160 ('/perf.py', 'module_initializer', '_TWO_20')
161 ('/perf.py', 'module_initializer', 'pid')
162 ('/perf.py', 'module_initializer', 'process')
163 ('/perf.py', 'module_initializer', 'a')
164 ('/perf.py', 'module_initializer', 'charts')
165 ('/perf.py', 'module_initializer', 'v')
166 ('/perf.py', 'module_initializer', 'diag')
167 ('/perf.py', 'module_initializer', 'times')
168 ('/perf.py', 'module_initializer', 'time')
169 ('/pygal_gen.py', 'module_initializer', 'parser')
170 ('/pygal_gen.py', 'module_initializer', 'opt_name')
171 ('/pygal_gen.py', 'module_initializer', 'val')
172 ('/pygal_gen.py', 'module_initializer', 'opts')
173 ('/pygal_gen.py', 'module_initializer', 'config')
174 ('/pygal_gen.py', 'module_initializer', 'chart')
175 ('/setup.py', 'finalize_options', 'self')
176 ('/setup.py', 'module_initializer', 'ROOT')
177 ('/setup.py', 'module_initializer', 'kwargs')
178 ('/setup.py', 'module_initializer', 'cairosvg')
179 ('/setup.py', 'module_initializer', 'tests_requirements')
180 ('/setup.py', 'module_initializer', 'about')
181 ('/demo/moulinrouge.py', 'module_initializer', 'app')
182 ('/demo/moulinrouge.py', 'module_initializer', 'handler')
183 ('/demo/moulinrouge/__init__.py', 'get', 'type')
184 ('/demo/moulinrouge/__init__.py', 'get', 'module')
185 ('/demo/moulinrouge/__init__.py', 'get', 'name')
186 ('/demo/moulinrouge/__init__.py', 'random_label', 'chars')
187 ('/demo/moulinrouge/__init__.py', 'random_value', 'min')
188 ('/demo/moulinrouge/__init__.py', 'random_value', 'max')
189 ('/demo/moulinrouge/__init__.py', '_random', 'data')
190 ('/demo/moulinrouge/__init__.py', '_random', 'order')
191 ('/demo/moulinrouge/__init__.py', '_random', 'max')
192 ('/demo/moulinrouge/__init__.py', '_random', 'min')
193 ('/demo/moulinrouge/__init__.py', '_random', 'series')
194 ('/demo/moulinrouge/__init__.py', '_random', 'values')
195 ('/demo/moulinrouge/__init__.py', '_random', 'i')
196 ('/demo/moulinrouge/__init__.py', '_random_series', 'type')
197 ('/demo/moulinrouge/__init__.py', '_random_series', 'data')
198 ('/demo/moulinrouge/__init__.py', '_random_series', 'order')
199 ('/demo/moulinrouge/__init__.py', '_random_series', 'max')
200 ('/demo/moulinrouge/__init__.py', '_random_series', 'min')
201 ('/demo/moulinrouge/__init__.py', '_random_series', 'with_secondary')
202 ('/demo/moulinrouge/__init__.py', '_random_series', 'series')
203 ('/demo/moulinrouge/__init__.py', '_random_series', 'values')
204 ('/demo/moulinrouge/__init__.py', '_random_series', 'i')
205 ('/demo/moulinrouge/__init__.py', '_random_series', 'config')
206 ('/demo/moulinrouge/__init__.py', 'svg', 'type')
207 ('/demo/moulinrouge/__init__.py', 'svg', 'series')
208 ('/demo/moulinrouge/__init__.py', 'svg', 'config')
209 ('/demo/moulinrouge/__init__.py', 'svg', 'graph')
210 ('/demo/moulinrouge/__init__.py', 'svg', 'title')
211 ('/demo/moulinrouge/__init__.py', 'svg', 'values')
212 ('/demo/moulinrouge/__init__.py', 'svg', 'serie_config')
213 ('/demo/moulinrouge/__init__.py', 'table', 'type')
214 ('/demo/moulinrouge/__init__.py', 'table', 'series')
215 ('/demo/moulinrouge/__init__.py', 'table', 'config')
216 ('/demo/moulinrouge/__init__.py', 'table', 'graph')
217 ('/demo/moulinrouge/__init__.py', 'table', 'title')
218 ('/demo/moulinrouge/__init__.py', 'table', 'values')
219 ('/demo/moulinrouge/__init__.py', 'table', 'serie_config')
220 ('/demo/moulinrouge/__init__.py', 'sparkline', 'style')
221 ('/demo/moulinrouge/__init__.py', 'sparkline', 'color')
222 ('/demo/moulinrouge/__init__.py', 'sparkline', 'line')
223 ('/demo/moulinrouge/__init__.py', 'sparkline', '_')
224 ('/demo/moulinrouge/__init__.py', 'with_table', 'type')
225 ('/demo/moulinrouge/__init__.py', 'with_table', 'chart')
226 ('/demo/moulinrouge/__init__.py', 'all', 'style')
227 ('/demo/moulinrouge/__init__.py', 'all', 'color')
228 ('/demo/moulinrouge/__init__.py', 'all', 'interpolate')
229 ('/demo/moulinrouge/__init__.py', 'all', 'base_style')
230 ('/demo/moulinrouge/__init__.py', 'all', 'width')
231 ('/demo/moulinrouge/__init__.py', 'all', 'height')
232 ('/demo/moulinrouge/__init__.py', 'all', 'data')
233 ('/demo/moulinrouge/__init__.py', 'all', 'order')
234 ('/demo/moulinrouge/__init__.py', 'all', 'xy_series')
235 ('/demo/moulinrouge/__init__.py', 'all', 'other_series')
236 ('/demo/moulinrouge/__init__.py', 'all', 'title')
237 ('/demo/moulinrouge/__init__.py', 'all', 'values')
238 ('/demo/moulinrouge/__init__.py', 'all', 'config')
239 ('/demo/moulinrouge/__init__.py', 'all', 'svgs')
240 ('/demo/moulinrouge/__init__.py', 'all', 'type')
241 ('/demo/moulinrouge/__init__.py', 'all', 'i')
242 ('/demo/moulinrouge/__init__.py', 'all', 'chart')
243 ('/demo/moulinrouge/__init__.py', 'rotation', 'width')
244 ('/demo/moulinrouge/__init__.py', 'rotation', 'height')
245 ('/demo/moulinrouge/__init__.py', 'rotation', 'config')
246 ('/demo/moulinrouge/__init__.py', 'rotation', 'data')
247 ('/demo/moulinrouge/__init__.py', 'rotation', 'order')
248 ('/demo/moulinrouge/__init__.py', 'rotation', 'series')
249 ('/demo/moulinrouge/__init__.py', 'rotation', 'labels')
250 ('/demo/moulinrouge/__init__.py', 'rotation', 'i')
251 ('/demo/moulinrouge/__init__.py', 'rotation', 'svgs')
252 ('/demo/moulinrouge/__init__.py', 'rotation', 'angle')
253 ('/demo/moulinrouge/__init__.py', 'interpolation', 'width')
254 ('/demo/moulinrouge/__init__.py', 'interpolation', 'height')
255 ('/demo/moulinrouge/__init__.py', 'interpolation', 'config')
256 ('/demo/moulinrouge/__init__.py', 'interpolation', 'data')
257 ('/demo/moulinrouge/__init__.py', 'interpolation', 'order')
258 ('/demo/moulinrouge/__init__.py', 'interpolation', 'series')
259 ('/demo/moulinrouge/__init__.py', 'interpolation', 'svgs')
260 ('/demo/moulinrouge/__init__.py', 'interpolation', 'interpolation')
261 ('/demo/moulinrouge/__init__.py', 'interpolation', 'params')
262 ('/demo/moulinrouge/__init__.py', 'raw_svgs', 'svgs')
263 ('/demo/moulinrouge/__init__.py', 'raw_svgs', 'chart')
264 ('/demo/moulinrouge/__init__.py', 'raw_svgs', 'i')
265 ('/demo/moulinrouge/__init__.py', 'raw_svgs', 'color')
266 ('/demo/moulinrouge/__init__.py', 'create_app', 'app')
267 ('/demo/moulinrouge/__init__.py', 'create_app', 'links')
268 ('/demo/moulinrouge/tests.py', 'test_unsorted', 'bar')
269 ('/demo/moulinrouge/tests.py', 'test_bar_links', 'bar')
270 ('/demo/moulinrouge/tests.py', 'test_xy_links', 'xy')
271 ('/demo/moulinrouge/tests.py', 'test_long_title', 'bar')
272 ('/demo/moulinrouge/tests.py', 'test_multiline_title', 'bar')
273 ('/demo/moulinrouge/tests.py', 'test_long_labels', 'bar')
274 ('/demo/moulinrouge/tests.py', 'test_bar_none', 'bar')
275 ('/demo/moulinrouge/tests.py', 'test_print_values_for', 'chart')
276 ('/demo/moulinrouge/tests.py', 'test_print_values_for', 'graph')
277 ('/demo/moulinrouge/tests.py', 'test_print_values_for', 'j')
278 ('/demo/moulinrouge/tests.py', 'test_print_values_for', 'i')
279 ('/demo/moulinrouge/tests.py', 'test_treemap', 'treemap')
280 ('/demo/moulinrouge/tests.py', 'test_treemap', 'i')
281 ('/demo/moulinrouge/tests.py', 'test_gauge', 'gauge')
282 ('/demo/moulinrouge/tests.py', 'test_solidgauge', 'gauge')
283 ('/demo/moulinrouge/tests.py', 'test_solidgauge', 'percent_formatter')
284 ('/demo/moulinrouge/tests.py', 'test_solidgauge', 'dollar_formatter')
285 ('/demo/moulinrouge/tests.py', 'test_gauge_log', 'gauge')
286 ('/demo/moulinrouge/tests.py', 'test_pyramid', 'pyramid')
287 ('/demo/moulinrouge/tests.py', 'test_funnel', 'funnel')
288 ('/demo/moulinrouge/tests.py', 'test_dot', 'dot')
289 ('/demo/moulinrouge/tests.py', 'test_for', 'chart')
290 ('/demo/moulinrouge/tests.py', 'test_for', 'graph')
291 ('/demo/moulinrouge/tests.py', 'test_call_api_for', 'chart')
292 ('/demo/moulinrouge/tests.py', 'test_call_api_for', 'graph')
293 ('/demo/moulinrouge/tests.py', 'test_one_for', 'chart')
294 ('/demo/moulinrouge/tests.py', 'test_one_for', 'graph')
295 ('/demo/moulinrouge/tests.py', 'test_xy_titles_for', 'chart')
296 ('/demo/moulinrouge/tests.py', 'test_xy_titles_for', 'graph')
297 ('/demo/moulinrouge/tests.py', 'test_no_data_for', 'chart')
298 ('/demo/moulinrouge/tests.py', 'test_no_data_for', 'graph')
299 ('/demo/moulinrouge/tests.py', 'test_xy_single', 'graph')
300 ('/demo/moulinrouge/tests.py', 'test_no_data_at_all_for', 'chart')
301 ('/demo/moulinrouge/tests.py', 'test_no_data_at_all_for', 'graph')
302 ('/demo/moulinrouge/tests.py', 'test_interpolate_for', 'chart')
303 ('/demo/moulinrouge/tests.py', 'test_interpolate_for', 'graph')
304 ('/demo/moulinrouge/tests.py', 'test_logarithmic_for', 'chart')
305 ('/demo/moulinrouge/tests.py', 'test_logarithmic_for', 'graph')
306 ('/demo/moulinrouge/tests.py', 'test_zero_at_34_for', 'chart')
307 ('/demo/moulinrouge/tests.py', 'test_zero_at_34_for', 'zero')
308 ('/demo/moulinrouge/tests.py', 'test_zero_at_34_for', 'graph')
309 ('/demo/moulinrouge/tests.py', 'test_range_for', 'chart')
310 ('/demo/moulinrouge/tests.py', 'test_range_for', 'graph')
311 ('/demo/moulinrouge/tests.py', 'test_fill_with_none', 'graph')
312 ('/demo/moulinrouge/tests.py', 'test_negative_for', 'chart')
313 ('/demo/moulinrouge/tests.py', 'test_negative_for', 'graph')
314 ('/demo/moulinrouge/tests.py', 'test_bar', 'bar')
315 ('/demo/moulinrouge/tests.py', 'test_formatters_for', 'chart')
316 ('/demo/moulinrouge/tests.py', 'test_bar_print_values_position', 'bar')
317 ('/demo/moulinrouge/tests.py', 'test_histogram', 'hist')
318 ('/demo/moulinrouge/tests.py', 'test_ylabels', 'chart')
319 ('/demo/moulinrouge/tests.py', 'test_secondary_for', 'chart')
320 ('/demo/moulinrouge/tests.py', 'test_secondary_xy', 'chart')
321 ('/demo/moulinrouge/tests.py', 'test_box', 'chart')
322 ('/demo/moulinrouge/tests.py', 'test_stacked', 'stacked')
323 ('/demo/moulinrouge/tests.py', 'test_stacked_reverse', 'stacked')
324 ('/demo/moulinrouge/tests.py', 'test_show_dots', 'line')
325 ('/demo/moulinrouge/tests.py', 'test_config', 'js')
326 ('/demo/moulinrouge/tests.py', 'test_config', 'stacked')
327 ('/demo/moulinrouge/tests.py', 'test_dateline', 'dateline')
328 ('/demo/moulinrouge/tests.py', 'test_timexy', 'timeline')
329 ('/demo/moulinrouge/tests.py', 'test_worldmap', 'wmap')
330 ('/demo/moulinrouge/tests.py', 'test_supranational', 'wmap')
331 ('/demo/moulinrouge/tests.py', 'test_supranational', 'v')
332 ('/demo/moulinrouge/tests.py', 'test_frenchmapdepartments', 'fmap')
333 ('/demo/moulinrouge/tests.py', 'test_frenchmapdepartments', 'i')
334 ('/demo/moulinrouge/tests.py', 'test_swissmap', 'smap')
335 ('/demo/moulinrouge/tests.py', 'test_swissmap', '_')
336 ('/demo/moulinrouge/tests.py', 'test_swissmap', 'i')
337 ('/demo/moulinrouge/tests.py', 'test_frenchmapregions', 'fmap')
338 ('/demo/moulinrouge/tests.py', 'test_frenchmapregions', '_')
339 ('/demo/moulinrouge/tests.py', 'test_frenchmapregions', 'i')
340 ('/demo/moulinrouge/tests.py', 'test_labels', 'line')
341 ('/demo/moulinrouge/tests.py', 'test_64_colors', 'n')
342 ('/demo/moulinrouge/tests.py', 'test_64_colors', 'colors')
343 ('/demo/moulinrouge/tests.py', 'test_64_colors', 'i')
344 ('/demo/moulinrouge/tests.py', 'test_64_colors', 'pie')
345 ('/demo/moulinrouge/tests.py', 'test_major_dots', 'line')
346 ('/demo/moulinrouge/tests.py', 'test_x_major_labels_for', 'chart')
347 ('/demo/moulinrouge/tests.py', 'test_x_major_labels_for', 'i')
348 ('/demo/moulinrouge/tests.py', 'test_y_major_labels_for', 'chart')
349 ('/demo/moulinrouge/tests.py', 'test_stroke_config', 'line')
350 ('/demo/moulinrouge/tests.py', 'test_stroke_config', '_')
351 ('/demo/moulinrouge/tests.py', 'test_radar', 'radar')
352 ('/demo/moulinrouge/tests.py', 'test_radar', 'j')
353 ('/demo/moulinrouge/tests.py', 'test_radar', 'i')
354 ('/demo/moulinrouge/tests.py', 'test_pie_serie_radius', 'pie')
355 ('/demo/moulinrouge/tests.py', 'test_pie_serie_radius', 'i')
356 ('/demo/moulinrouge/tests.py', 'test_half_pie', 'pie')
357 ('/demo/moulinrouge/tests.py', 'test_half_pie', 'i')
358 ('/demo/moulinrouge/tests.py', 'test_interpolate_secondary', 'chart')
359 ('/demo/moulinrouge/tests.py', 'test_legend_at_bottom_for', 'chart')
360 ('/demo/moulinrouge/tests.py', 'test_legend_at_bottom_for', 'graph')
361 ('/demo/moulinrouge/tests.py', 'test_custom_metadata_for', 'chart')
362 ('/demo/moulinrouge/tests.py', 'test_custom_metadata_for', 'c')
363 ('/demo/moulinrouge/tests.py', 'test_sparkline_for', 'chart')
364 ('/demo/moulinrouge/tests.py', 'test_sparkline_for', 'graph')
365 ('/demo/moulinrouge/tests.py', 'test_sparkline_label_for', 'chart')
366 ('/demo/moulinrouge/tests.py', 'test_sparkline_label_for', 'graph')
367 ('/demo/moulinrouge/tests.py', 'test_normal_for', 'chart')
368 ('/demo/moulinrouge/tests.py', 'test_normal_for', 'graph')
369 ('/demo/moulinrouge/tests.py', 'test_horizontal_force_for', 'chart')
370 ('/demo/moulinrouge/tests.py', 'test_horizontal_force_for', 'graph')
371 ('/demo/moulinrouge/tests.py', 'test_inverse_y_axis_for', 'chart')
372 ('/demo/moulinrouge/tests.py', 'test_inverse_y_axis_for', 'graph')
373 ('/demo/moulinrouge/tests.py', 'test_only_zeroes', 'line')
374 ('/demo/moulinrouge/tests.py', 'test_rotations_for', 'chart')
375 ('/demo/moulinrouge/tests.py', 'test_rotations_for', 'graph')
376 ('/demo/moulinrouge/tests.py', 'test_datetimeline', 'line')
377 ('/demo/moulinrouge/tests.py', 'test_datetimeline', 'tz7')
378 ('/demo/moulinrouge/tests.py', 'test_datetimeline', 'tzn4')
379 ('/demo/moulinrouge/tests.py', 'test_datetimeline_with_pytz', 'tz')
380 ('/demo/moulinrouge/tests.py', 'test_datetimeline_with_pytz', 'line')
381 ('/demo/moulinrouge/tests.py', 'test_order_min', 'line')
382 ('/demo/moulinrouge/tests.py', 'test_custom_css_file', 'custom_css')
383 ('/demo/moulinrouge/tests.py', 'test_custom_css_file', 'custom_css_file')
384 ('/demo/moulinrouge/tests.py', 'test_custom_css_file', 'config')
385 ('/demo/moulinrouge/tests.py', 'test_custom_css_file', 'chart')
386 ('/demo/moulinrouge/tests.py', 'test_legend_link_for', 'chart')
387 ('/demo/moulinrouge/tests.py', 'test_gradient_for', 'chart')
388 ('/demo/moulinrouge/tests.py', 'test_gradient_for', 'config')
389 ('/demo/moulinrouge/tests.py', 'test_erfinv', 'chart')
390 ('/demo/moulinrouge/tests.py', 'test_erfinv', 'x')
391 ('/demo/moulinrouge/tests.py', 'test_ci_for', 'chart')
392 ('/demo/moulinrouge/tests.py', 'test_interruptions', 'chart')
393 ('/demo/moulinrouge/tests.py', 'test_interruptions', 'a')
394 ('/demo/moulinrouge/tests.py', 'get_test_routes', 'app')
395 ('/demo/moulinrouge/tests.py', 'get_test_routes', 'lnk')
396 ('/demo/moulinrouge/tests.py', 'module_initializer', 'world')
397 ('/demo/moulinrouge/tests.py', 'module_initializer', 'fr')
398 ('/demo/moulinrouge/tests.py', 'module_initializer', 'ch')
399 ('/demo/moulinrouge/data.py', 'module_initializer', 'labels')
400 ('/demo/moulinrouge/data.py', 'module_initializer', 'series')
401 ('/pygal/config.py', '__init__', 'self')
402 ('/pygal/config.py', '__init__', 'default_value')
403 ('/pygal/config.py', '__init__', 'type_')
404 ('/pygal/config.py', '__init__', 'category')
405 ('/pygal/config.py', '__init__', 'doc')
406 ('/pygal/config.py', '__init__', 'subdoc')
407 ('/pygal/config.py', '__init__', 'subtype')
408 ('/pygal/config.py', '__repr__', 'self')
409 ('/pygal/config.py', 'is_boolean', 'self')
410 ('/pygal/config.py', 'is_numeric', 'self')
411 ('/pygal/config.py', 'is_string', 'self')
412 ('/pygal/config.py', 'is_dict', 'self')
413 ('/pygal/config.py', 'is_list', 'self')
414 ('/pygal/config.py', 'coerce', 'self')
415 ('/pygal/config.py', 'coerce', 'value')
416 ('/pygal/config.py', 'coerce', 'rv')
417 ('/pygal/config.py', 'coerce', 'key')
418 ('/pygal/config.py', 'coerce', 'val')
419 ('/pygal/config.py', 'coerce', 'pair')
420 ('/pygal/config.py', 'Key_class_initializer', '_categories')
421 ('/pygal/config.py', '__new__', 'mcs')
422 ('/pygal/config.py', '__new__', 'classname')
423 ('/pygal/config.py', '__new__', 'bases')
424 ('/pygal/config.py', '__new__', 'classdict')
425 ('/pygal/config.py', '__new__', 'k')
426 ('/pygal/config.py', '__new__', 'v')
